timestamp,student_id,alert_type,state,attention_score,liveness_score,face_similarity,ear,mar,yaw,pitch,image_path
2026-05-28 11:25:45,202417140,Frequent Distraction,DISTRACTED,94.14,1.000,0.999,0.2927,0.4265,9.42,-168.36,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_112545.jpg
2026-05-28 11:25:50,202417140,Frequent Distraction,DISTRACTED,88.76,1.000,0.997,0.2321,0.3820,-17.93,-175.58,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_112550.jpg
2026-05-28 11:25:53,202417140,Sustained Distraction,DISTRACTED,81.19,1.000,0.992,0.1786,0.4031,-15.44,-167.72,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\sustained_distraction_20260528_112553.jpg
2026-05-28 11:25:54,202417140,Multiple Faces Detected,DISTRACTED,79.45,1.000,0.988,0.2192,0.4231,-28.24,-168.45,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\multiple_faces_detected_20260528_112554.jpg
2026-05-28 11:25:55,202417140,Frequent Distraction,DISTRACTED,78.71,1.000,0.986,0.2320,0.4055,-40.56,-165.20,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_112555.jpg
2026-06-04 10:13:14,202417140,Frequent Distraction,DISTRACTED,94.83,0.802,0.997,0.2429,0.5383,-19.02,-177.62,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260604_101314.jpg
2026-06-04 10:13:19,202417140,Frequent Distraction,DISTRACTED,88.59,0.933,0.999,0.2567,0.3973,-13.36,-178.64,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260604_101319.jpg
2026-06-04 10:13:24,202417140,Frequent Distraction,DISTRACTED,81.99,1.000,0.999,0.2578,0.4109,12.50,-176.26,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260604_101324.jpg
2026-06-04 10:13:29,202417140,Sustained Distraction,DISTRACTED,73.30,1.000,1.000,0.2300,0.3642,8.71,-175.89,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\sustained_distraction_20260604_101329.jpg
2026-06-04 10:13:29,202417140,Frequent Distraction,DISTRACTED,71.96,1.000,0.996,0.2239,0.3714,-21.93,-178.11,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260604_101329.jpg
